dx,severity,issbr
S21409A,3,Chest
S21411A,3,Chest
S21412A,3,Chest
S21419A,3,Chest
S21421A,3,Chest
S21422A,3,Chest
S21429A,3,Chest
S21431A,3,Chest
S21432A,3,Chest
S21439A,3,Chest
S21441A,3,Chest
S21442A,3,Chest
S21449A,3,Chest
S21451A,3,Chest
S21452A,3,Chest
S21459A,3,Chest
S2190XA,1,Chest
S2191XA,1,Chest
S2192XA,1,General
S2193XA,1,Chest
S2194XA,1,General
S2195XA,1,Chest
S22000A,2,Chest
S22001A,2,Chest
S22002A,2,Chest
S22008A,2,Chest
S22009A,2,Chest
S22010A,2,Chest
S22011A,2,Chest
S22012A,2,Chest
S22018A,2,Chest
S22019A,2,Chest
S22020A,2,Chest
S22021A,2,Chest
S22022A,2,Chest
S22028A,2,Chest
S22029A,2,Chest
S22030A,2,Chest
S22031A,2,Chest
S22032A,2,Chest
S22038A,2,Chest
S22039A,2,Chest
S22040A,2,Chest
S22041A,2,Chest
S22042A,2,Chest
S22048A,2,Chest
S22049A,2,Chest
S22050A,2,Chest
S22051A,2,Chest
S22052A,2,Chest
S22058A,2,Chest
S22059A,2,Chest
S22060A,2,Chest
S22061A,2,Chest
S22062A,2,Chest
S22068A,2,Chest
S22069A,2,Chest
S22070A,2,Chest
S22071A,2,Chest
S22072A,2,Chest
S22078A,2,Chest
S22079A,2,Chest
S22080A,2,Chest
S22081A,2,Chest
S22082A,2,Chest
S22088A,2,Chest
S22089A,2,Chest
S2220XA,2,Chest
S2221XA,2,Chest
S2222XA,2,Chest
S2223XA,2,Chest
S2224XA,2,Chest
S2231XA,1,Chest
S2232XA,1,Chest
S2239XA,1,Chest
S2241XA,2,Chest
S2242XA,2,Chest
S2243XA,2,Chest
S2249XA,2,Chest
S225XXA,4,Chest
S229XXA,2,General
S230XXA,2,Chest
S23100A,2,Chest
S23101A,2,Chest
S23110A,2,Chest
S23111A,2,Chest
S23120A,2,Chest
S23121A,2,Chest
S23122A,2,Chest
S23123A,2,Chest
S23130A,2,Chest
S23131A,2,Chest
S23132A,2,Chest
S23133A,2,Chest
S23140A,2,Chest
S23141A,2,Chest
S23142A,2,Chest
S23143A,2,Chest
S23150A,2,Chest
S23151A,2,Chest
S23152A,2,Chest
S23153A,2,Chest
S23160A,2,Chest
S23161A,2,Chest
S23162A,2,Chest
S23163A,2,Chest
S23170A,2,Chest
S23171A,2,Chest
S2320XA,2,Chest
S2329XA,2,Chest
S233XXA,1,Chest
S2341XA,1,Chest
S23420A,1,Chest
S23421A,1,Chest
S23428A,1,Chest
S23429A,1,Chest
S238XXA,1,Chest
S239XXA,1,Chest
S240XXA,4,Chest
S24101A,3,Chest
S24102A,3,Chest
S24103A,3,Chest
S24104A,3,Chest
S24109A,3,Abdomen
S24111A,5,Chest
S24112A,5,Chest
S24113A,5,Chest
S24114A,5,Chest
S24119A,3,Abdomen
S24131A,4,Chest
S24132A,4,Chest
S24133A,4,Chest
S24134A,4,Chest
S24139A,3,Abdomen
S24141A,5,Chest
S24142A,5,Chest
S24143A,4,Chest
S24144A,4,Chest
S24149A,3,Abdomen
S24151A,4,Chest
S24152A,4,Chest
S24153A,4,Chest
S24154A,4,Chest
S24159A,3,Abdomen
S242XXA,2,Chest
S243XXA,2,Abdomen
S244XXA,2,Abdomen
S248XXA,2,Abdomen
S249XXA,2,3
S2500XA,5,Chest
S2501XA,5,Chest
S2502XA,5,Chest
S2509XA,5,Chest
S25101A,3,Chest
S25102A,3,Chest
S25109A,3,Chest
S25111A,3,Chest
S25112A,3,Chest
S25119A,3,Chest
S25121A,3,Chest
S25122A,3,Chest
S25129A,3,Chest
S25191A,3,Chest
S25192A,3,Chest
S25199A,3,Chest
S2520XA,3,Chest
S2521XA,3,Chest
S2522XA,3,Chest
S2529XA,3,Chest
S25301A,3,Chest
S25302A,3,Chest
S25309A,3,Chest
S25311A,3,Chest
S25312A,3,Chest
S25319A,3,Chest
S25321A,3,Chest
S25322A,3,Chest
S25329A,3,Chest
S25391A,3,Chest
S25392A,3,Chest
S25399A,3,Chest
S25401A,3,Chest
S25402A,3,Chest
S25409A,3,Chest
S25411A,3,Chest
S25412A,3,Chest
S25419A,3,Chest
S25421A,3,Chest
S25422A,3,Chest
S25429A,3,Chest
S25491A,3,Chest
S25492A,3,Chest
S25499A,3,Chest
S25501A,2,Chest
S25502A,2,Chest
S25509A,2,Chest
S25511A,2,Chest
S25512A,2,Chest
S25519A,2,Chest
S25591A,2,Chest
S25592A,2,Chest
S25599A,2,Chest
S25801A,2,Chest
S25802A,2,Chest
